,R1,R2,R3,R4,R5
V27586,2,8,20,23,25
V27587,2,8,20,23,26
V27588,2,8,20,23,27
V27589,2,8,20,23,28
V27590,2,8,20,24,25
V27591,2,8,20,24,26
V27592,2,8,20,24,27
V27593,2,8,20,24,28
V27594,2,8,20,25,26
V27595,2,8,20,25,27
V27596,2,8,20,25,28
V27597,2,8,20,26,27
V27598,2,8,20,26,28
V27599,2,8,20,27,28
V27600,2,8,21,22,23
V27601,2,8,21,22,24
V27602,2,8,21,22,25
V27603,2,8,21,22,26
V27604,2,8,21,22,27
V27605,2,8,21,22,28
V27606,2,8,21,23,24
V27607,2,8,21,23,25
V27608,2,8,21,23,26
V27609,2,8,21,23,27
V27610,2,8,21,23,28
V27611,2,8,21,24,25
V27612,2,8,21,24,26
V27613,2,8,21,24,27
V27614,2,8,21,24,28
V27615,2,8,21,25,26
V27616,2,8,21,25,27
V27617,2,8,21,25,28
V27618,2,8,21,26,27
V27619,2,8,21,26,28
V27620,2,8,21,27,28
V27621,2,8,22,23,24
V27622,2,8,22,23,25
V27623,2,8,22,23,26
V27624,2,8,22,23,27
V27625,2,8,22,23,28
V27626,2,8,22,24,25
V27627,2,8,22,24,26
V27628,2,8,22,24,27
V27629,2,8,22,24,28
V27630,2,8,22,25,26
V27631,2,8,22,25,27
V27632,2,8,22,25,28
V27633,2,8,22,26,27
V27634,2,8,22,26,28
V27635,2,8,22,27,28
V27636,2,8,23,24,25
V27637,2,8,23,24,26
V27638,2,8,23,24,27
V27639,2,8,23,24,28
V27640,2,8,23,25,26
V27641,2,8,23,25,27
V27642,2,8,23,25,28
V27643,2,8,23,26,27
V27644,2,8,23,26,28
V27645,2,8,23,27,28
V27646,2,8,24,25,26
V27647,2,8,24,25,27
V27648,2,8,24,25,28
V27649,2,8,24,26,27
V27650,2,8,24,26,28
V27651,2,8,24,27,28
V27652,2,8,25,26,27
V27653,2,8,25,26,28
V27654,2,8,25,27,28
V27655,2,8,26,27,28
V27656,2,9,10,11,12
V27657,2,9,10,11,13
V27658,2,9,10,11,14
V27659,2,9,10,11,15
V27660,2,9,10,11,16
V27661,2,9,10,11,17
V27662,2,9,10,11,18
V27663,2,9,10,11,19
V27664,2,9,10,11,20
V27665,2,9,10,11,21
V27666,2,9,10,11,22
V27667,2,9,10,11,23
V27668,2,9,10,11,24
V27669,2,9,10,11,25
V27670,2,9,10,11,26
V27671,2,9,10,11,27
V27672,2,9,10,11,28
V27673,2,9,10,12,13
V27674,2,9,10,12,14
V27675,2,9,10,12,15
V27676,2,9,10,12,16
V27677,2,9,10,12,17
V27678,2,9,10,12,18
V27679,2,9,10,12,19
V27680,2,9,10,12,20
V27681,2,9,10,12,21
V27682,2,9,10,12,22
V27683,2,9,10,12,23
V27684,2,9,10,12,24
V27685,2,9,10,12,25
V27686,2,9,10,12,26
V27687,2,9,10,12,27
V27688,2,9,10,12,28
V27689,2,9,10,13,14
V27690,2,9,10,13,15
V27691,2,9,10,13,16
V27692,2,9,10,13,17
V27693,2,9,10,13,18
V27694,2,9,10,13,19
V27695,2,9,10,13,20
V27696,2,9,10,13,21
V27697,2,9,10,13,22
V27698,2,9,10,13,23
V27699,2,9,10,13,24
V27700,2,9,10,13,25
V27701,2,9,10,13,26
V27702,2,9,10,13,27
V27703,2,9,10,13,28
V27704,2,9,10,14,15
V27705,2,9,10,14,16
V27706,2,9,10,14,17
V27707,2,9,10,14,18
V27708,2,9,10,14,19
V27709,2,9,10,14,20
V27710,2,9,10,14,21
V27711,2,9,10,14,22
V27712,2,9,10,14,23
V27713,2,9,10,14,24
V27714,2,9,10,14,25
V27715,2,9,10,14,26
V27716,2,9,10,14,27
V27717,2,9,10,14,28
V27718,2,9,10,15,16
V27719,2,9,10,15,17
V27720,2,9,10,15,18
V27721,2,9,10,15,19
V27722,2,9,10,15,20
V27723,2,9,10,15,21
V27724,2,9,10,15,22
V27725,2,9,10,15,23
V27726,2,9,10,15,24
V27727,2,9,10,15,25
V27728,2,9,10,15,26
V27729,2,9,10,15,27
V27730,2,9,10,15,28
V27731,2,9,10,16,17
V27732,2,9,10,16,18
V27733,2,9,10,16,19
V27734,2,9,10,16,20
V27735,2,9,10,16,21
V27736,2,9,10,16,22
V27737,2,9,10,16,23
V27738,2,9,10,16,24
V27739,2,9,10,16,25
V27740,2,9,10,16,26
V27741,2,9,10,16,27
V27742,2,9,10,16,28
V27743,2,9,10,17,18
V27744,2,9,10,17,19
V27745,2,9,10,17,20
V27746,2,9,10,17,21
V27747,2,9,10,17,22
V27748,2,9,10,17,23
V27749,2,9,10,17,24
V27750,2,9,10,17,25
V27751,2,9,10,17,26
V27752,2,9,10,17,27
V27753,2,9,10,17,28
V27754,2,9,10,18,19
V27755,2,9,10,18,20
V27756,2,9,10,18,21
V27757,2,9,10,18,22
V27758,2,9,10,18,23
V27759,2,9,10,18,24
V27760,2,9,10,18,25
V27761,2,9,10,18,26
V27762,2,9,10,18,27
V27763,2,9,10,18,28
V27764,2,9,10,19,20
V27765,2,9,10,19,21
V27766,2,9,10,19,22
V27767,2,9,10,19,23
V27768,2,9,10,19,24
V27769,2,9,10,19,25
V27770,2,9,10,19,26
V27771,2,9,10,19,27
V27772,2,9,10,19,28
V27773,2,9,10,20,21
V27774,2,9,10,20,22
V27775,2,9,10,20,23
V27776,2,9,10,20,24
V27777,2,9,10,20,25
V27778,2,9,10,20,26
V27779,2,9,10,20,27
V27780,2,9,10,20,28
V27781,2,9,10,21,22
V27782,2,9,10,21,23
V27783,2,9,10,21,24
V27784,2,9,10,21,25
V27785,2,9,10,21,26
V27786,2,9,10,21,27
V27787,2,9,10,21,28
V27788,2,9,10,22,23
V27789,2,9,10,22,24
V27790,2,9,10,22,25
V27791,2,9,10,22,26
V27792,2,9,10,22,27
V27793,2,9,10,22,28
V27794,2,9,10,23,24
V27795,2,9,10,23,25
V27796,2,9,10,23,26
V27797,2,9,10,23,27
V27798,2,9,10,23,28
V27799,2,9,10,24,25
V27800,2,9,10,24,26
V27801,2,9,10,24,27
V27802,2,9,10,24,28
V27803,2,9,10,25,26
V27804,2,9,10,25,27
V27805,2,9,10,25,28
V27806,2,9,10,26,27
V27807,2,9,10,26,28
V27808,2,9,10,27,28
V27809,2,9,11,12,13
V27810,2,9,11,12,14
V27811,2,9,11,12,15
V27812,2,9,11,12,16
V27813,2,9,11,12,17
V27814,2,9,11,12,18
V27815,2,9,11,12,19
V27816,2,9,11,12,20
V27817,2,9,11,12,21
V27818,2,9,11,12,22
V27819,2,9,11,12,23
V27820,2,9,11,12,24
V27821,2,9,11,12,25
V27822,2,9,11,12,26
V27823,2,9,11,12,27
V27824,2,9,11,12,28
V27825,2,9,11,13,14
V27826,2,9,11,13,15
V27827,2,9,11,13,16
V27828,2,9,11,13,17
V27829,2,9,11,13,18
V27830,2,9,11,13,19
V27831,2,9,11,13,20
V27832,2,9,11,13,21
V27833,2,9,11,13,22
V27834,2,9,11,13,23
V27835,2,9,11,13,24
V27836,2,9,11,13,25
V27837,2,9,11,13,26
V27838,2,9,11,13,27
V27839,2,9,11,13,28
V27840,2,9,11,14,15
V27841,2,9,11,14,16
V27842,2,9,11,14,17
V27843,2,9,11,14,18
V27844,2,9,11,14,19
V27845,2,9,11,14,20
V27846,2,9,11,14,21
V27847,2,9,11,14,22
V27848,2,9,11,14,23
V27849,2,9,11,14,24
V27850,2,9,11,14,25
V27851,2,9,11,14,26
V27852,2,9,11,14,27
V27853,2,9,11,14,28
V27854,2,9,11,15,16
V27855,2,9,11,15,17
V27856,2,9,11,15,18
V27857,2,9,11,15,19
V27858,2,9,11,15,20
V27859,2,9,11,15,21
V27860,2,9,11,15,22
V27861,2,9,11,15,23
V27862,2,9,11,15,24
V27863,2,9,11,15,25
V27864,2,9,11,15,26
V27865,2,9,11,15,27
V27866,2,9,11,15,28
V27867,2,9,11,16,17
V27868,2,9,11,16,18
V27869,2,9,11,16,19
V27870,2,9,11,16,20
V27871,2,9,11,16,21
V27872,2,9,11,16,22
V27873,2,9,11,16,23
V27874,2,9,11,16,24
V27875,2,9,11,16,25
V27876,2,9,11,16,26
V27877,2,9,11,16,27
V27878,2,9,11,16,28
V27879,2,9,11,17,18
V27880,2,9,11,17,19
V27881,2,9,11,17,20
V27882,2,9,11,17,21
V27883,2,9,11,17,22
V27884,2,9,11,17,23
V27885,2,9,11,17,24
V27886,2,9,11,17,25
V27887,2,9,11,17,26
V27888,2,9,11,17,27
V27889,2,9,11,17,28
V27890,2,9,11,18,19
V27891,2,9,11,18,20
V27892,2,9,11,18,21
V27893,2,9,11,18,22
V27894,2,9,11,18,23
V27895,2,9,11,18,24
V27896,2,9,11,18,25
V27897,2,9,11,18,26
V27898,2,9,11,18,27
V27899,2,9,11,18,28
V27900,2,9,11,19,20
V27901,2,9,11,19,21
V27902,2,9,11,19,22
V27903,2,9,11,19,23
V27904,2,9,11,19,24
V27905,2,9,11,19,25
V27906,2,9,11,19,26
V27907,2,9,11,19,27
V27908,2,9,11,19,28
V27909,2,9,11,20,21
V27910,2,9,11,20,22
V27911,2,9,11,20,23
V27912,2,9,11,20,24
V27913,2,9,11,20,25
V27914,2,9,11,20,26
V27915,2,9,11,20,27
V27916,2,9,11,20,28
V27917,2,9,11,21,22
V27918,2,9,11,21,23
V27919,2,9,11,21,24
V27920,2,9,11,21,25
V27921,2,9,11,21,26
V27922,2,9,11,21,27
V27923,2,9,11,21,28
V27924,2,9,11,22,23
V27925,2,9,11,22,24
V27926,2,9,11,22,25
V27927,2,9,11,22,26
V27928,2,9,11,22,27
V27929,2,9,11,22,28
V27930,2,9,11,23,24
V27931,2,9,11,23,25
V27932,2,9,11,23,26
V27933,2,9,11,23,27
V27934,2,9,11,23,28
V27935,2,9,11,24,25
V27936,2,9,11,24,26
V27937,2,9,11,24,27
V27938,2,9,11,24,28
V27939,2,9,11,25,26
V27940,2,9,11,25,27
V27941,2,9,11,25,28
V27942,2,9,11,26,27
V27943,2,9,11,26,28
V27944,2,9,11,27,28
V27945,2,9,12,13,14
V27946,2,9,12,13,15
V27947,2,9,12,13,16
V27948,2,9,12,13,17
V27949,2,9,12,13,18
V27950,2,9,12,13,19
V27951,2,9,12,13,20
V27952,2,9,12,13,21
V27953,2,9,12,13,22
V27954,2,9,12,13,23
V27955,2,9,12,13,24
V27956,2,9,12,13,25
V27957,2,9,12,13,26
V27958,2,9,12,13,27
V27959,2,9,12,13,28
V27960,2,9,12,14,15
V27961,2,9,12,14,16
V27962,2,9,12,14,17
V27963,2,9,12,14,18
V27964,2,9,12,14,19
V27965,2,9,12,14,20
V27966,2,9,12,14,21
V27967,2,9,12,14,22
V27968,2,9,12,14,23
V27969,2,9,12,14,24
V27970,2,9,12,14,25
V27971,2,9,12,14,26
V27972,2,9,12,14,27
V27973,2,9,12,14,28
V27974,2,9,12,15,16
V27975,2,9,12,15,17
V27976,2,9,12,15,18
V27977,2,9,12,15,19
V27978,2,9,12,15,20
V27979,2,9,12,15,21
V27980,2,9,12,15,22
V27981,2,9,12,15,23
V27982,2,9,12,15,24
V27983,2,9,12,15,25
V27984,2,9,12,15,26
V27985,2,9,12,15,27
V27986,2,9,12,15,28
V27987,2,9,12,16,17
V27988,2,9,12,16,18
V27989,2,9,12,16,19
V27990,2,9,12,16,20
V27991,2,9,12,16,21
V27992,2,9,12,16,22
V27993,2,9,12,16,23
V27994,2,9,12,16,24
V27995,2,9,12,16,25
V27996,2,9,12,16,26
V27997,2,9,12,16,27
V27998,2,9,12,16,28
V27999,2,9,12,17,18
V28000,2,9,12,17,19
V28001,2,9,12,17,20
V28002,2,9,12,17,21
V28003,2,9,12,17,22
V28004,2,9,12,17,23
V28005,2,9,12,17,24
V28006,2,9,12,17,25
V28007,2,9,12,17,26
V28008,2,9,12,17,27
V28009,2,9,12,17,28
V28010,2,9,12,18,19
V28011,2,9,12,18,20
V28012,2,9,12,18,21
V28013,2,9,12,18,22
V28014,2,9,12,18,23
V28015,2,9,12,18,24
V28016,2,9,12,18,25
V28017,2,9,12,18,26
V28018,2,9,12,18,27
V28019,2,9,12,18,28
V28020,2,9,12,19,20
V28021,2,9,12,19,21
V28022,2,9,12,19,22
V28023,2,9,12,19,23
V28024,2,9,12,19,24
V28025,2,9,12,19,25
V28026,2,9,12,19,26
V28027,2,9,12,19,27
V28028,2,9,12,19,28
V28029,2,9,12,20,21
V28030,2,9,12,20,22
V28031,2,9,12,20,23
V28032,2,9,12,20,24
V28033,2,9,12,20,25
V28034,2,9,12,20,26
V28035,2,9,12,20,27
V28036,2,9,12,20,28
V28037,2,9,12,21,22
V28038,2,9,12,21,23
V28039,2,9,12,21,24
V28040,2,9,12,21,25
V28041,2,9,12,21,26
V28042,2,9,12,21,27
V28043,2,9,12,21,28
V28044,2,9,12,22,23
V28045,2,9,12,22,24
V28046,2,9,12,22,25
V28047,2,9,12,22,26
V28048,2,9,12,22,27
V28049,2,9,12,22,28
V28050,2,9,12,23,24
V28051,2,9,12,23,25
V28052,2,9,12,23,26
V28053,2,9,12,23,27
V28054,2,9,12,23,28
V28055,2,9,12,24,25
V28056,2,9,12,24,26
V28057,2,9,12,24,27
V28058,2,9,12,24,28
V28059,2,9,12,25,26
V28060,2,9,12,25,27
V28061,2,9,12,25,28
V28062,2,9,12,26,27
V28063,2,9,12,26,28
V28064,2,9,12,27,28
V28065,2,9,13,14,15
V28066,2,9,13,14,16
V28067,2,9,13,14,17
V28068,2,9,13,14,18
V28069,2,9,13,14,19
V28070,2,9,13,14,20
V28071,2,9,13,14,21
V28072,2,9,13,14,22
V28073,2,9,13,14,23
V28074,2,9,13,14,24
V28075,2,9,13,14,25
V28076,2,9,13,14,26
V28077,2,9,13,14,27
V28078,2,9,13,14,28
V28079,2,9,13,15,16
V28080,2,9,13,15,17
V28081,2,9,13,15,18
V28082,2,9,13,15,19
V28083,2,9,13,15,20
V28084,2,9,13,15,21
V28085,2,9,13,15,22
V28086,2,9,13,15,23
V28087,2,9,13,15,24
V28088,2,9,13,15,25
V28089,2,9,13,15,26
V28090,2,9,13,15,27
V28091,2,9,13,15,28
V28092,2,9,13,16,17
V28093,2,9,13,16,18
V28094,2,9,13,16,19
V28095,2,9,13,16,20
V28096,2,9,13,16,21
V28097,2,9,13,16,22
V28098,2,9,13,16,23
V28099,2,9,13,16,24
V28100,2,9,13,16,25
V28101,2,9,13,16,26
V28102,2,9,13,16,27
V28103,2,9,13,16,28
V28104,2,9,13,17,18
V28105,2,9,13,17,19
V28106,2,9,13,17,20
V28107,2,9,13,17,21
V28108,2,9,13,17,22
V28109,2,9,13,17,23
V28110,2,9,13,17,24
V28111,2,9,13,17,25
V28112,2,9,13,17,26
V28113,2,9,13,17,27
V28114,2,9,13,17,28
V28115,2,9,13,18,19
V28116,2,9,13,18,20
V28117,2,9,13,18,21
V28118,2,9,13,18,22
V28119,2,9,13,18,23
V28120,2,9,13,18,24
V28121,2,9,13,18,25
V28122,2,9,13,18,26
V28123,2,9,13,18,27
V28124,2,9,13,18,28
V28125,2,9,13,19,20
V28126,2,9,13,19,21
V28127,2,9,13,19,22
V28128,2,9,13,19,23
V28129,2,9,13,19,24
V28130,2,9,13,19,25
V28131,2,9,13,19,26
V28132,2,9,13,19,27
V28133,2,9,13,19,28
V28134,2,9,13,20,21
V28135,2,9,13,20,22
V28136,2,9,13,20,23
V28137,2,9,13,20,24
V28138,2,9,13,20,25
V28139,2,9,13,20,26
V28140,2,9,13,20,27
V28141,2,9,13,20,28
V28142,2,9,13,21,22
V28143,2,9,13,21,23
V28144,2,9,13,21,24
V28145,2,9,13,21,25
V28146,2,9,13,21,26
V28147,2,9,13,21,27
V28148,2,9,13,21,28
V28149,2,9,13,22,23
V28150,2,9,13,22,24
V28151,2,9,13,22,25
V28152,2,9,13,22,26
V28153,2,9,13,22,27
V28154,2,9,13,22,28
V28155,2,9,13,23,24
V28156,2,9,13,23,25
V28157,2,9,13,23,26
V28158,2,9,13,23,27
V28159,2,9,13,23,28
V28160,2,9,13,24,25
V28161,2,9,13,24,26
V28162,2,9,13,24,27
V28163,2,9,13,24,28
V28164,2,9,13,25,26
V28165,2,9,13,25,27
V28166,2,9,13,25,28
V28167,2,9,13,26,27
V28168,2,9,13,26,28
V28169,2,9,13,27,28
V28170,2,9,14,15,16
V28171,2,9,14,15,17
V28172,2,9,14,15,18
V28173,2,9,14,15,19
V28174,2,9,14,15,20
V28175,2,9,14,15,21
V28176,2,9,14,15,22
V28177,2,9,14,15,23
V28178,2,9,14,15,24
V28179,2,9,14,15,25
V28180,2,9,14,15,26
V28181,2,9,14,15,27
V28182,2,9,14,15,28
V28183,2,9,14,16,17
V28184,2,9,14,16,18
V28185,2,9,14,16,19
V28186,2,9,14,16,20
V28187,2,9,14,16,21
V28188,2,9,14,16,22
V28189,2,9,14,16,23
V28190,2,9,14,16,24
V28191,2,9,14,16,25
V28192,2,9,14,16,26
V28193,2,9,14,16,27
V28194,2,9,14,16,28
V28195,2,9,14,17,18
V28196,2,9,14,17,19
V28197,2,9,14,17,20
V28198,2,9,14,17,21
V28199,2,9,14,17,22
V28200,2,9,14,17,23
V28201,2,9,14,17,24
V28202,2,9,14,17,25
V28203,2,9,14,17,26
V28204,2,9,14,17,27
V28205,2,9,14,17,28
V28206,2,9,14,18,19
V28207,2,9,14,18,20
V28208,2,9,14,18,21
V28209,2,9,14,18,22
V28210,2,9,14,18,23
V28211,2,9,14,18,24
V28212,2,9,14,18,25
V28213,2,9,14,18,26
V28214,2,9,14,18,27
V28215,2,9,14,18,28
V28216,2,9,14,19,20
V28217,2,9,14,19,21
V28218,2,9,14,19,22
V28219,2,9,14,19,23
V28220,2,9,14,19,24
V28221,2,9,14,19,25
V28222,2,9,14,19,26
V28223,2,9,14,19,27
V28224,2,9,14,19,28
V28225,2,9,14,20,21
V28226,2,9,14,20,22
V28227,2,9,14,20,23
V28228,2,9,14,20,24
V28229,2,9,14,20,25
V28230,2,9,14,20,26
V28231,2,9,14,20,27
V28232,2,9,14,20,28
V28233,2,9,14,21,22
V28234,2,9,14,21,23
V28235,2,9,14,21,24
V28236,2,9,14,21,25
V28237,2,9,14,21,26
V28238,2,9,14,21,27
V28239,2,9,14,21,28
V28240,2,9,14,22,23
V28241,2,9,14,22,24
V28242,2,9,14,22,25
V28243,2,9,14,22,26
V28244,2,9,14,22,27
V28245,2,9,14,22,28
V28246,2,9,14,23,24
V28247,2,9,14,23,25
V28248,2,9,14,23,26
V28249,2,9,14,23,27
V28250,2,9,14,23,28
V28251,2,9,14,24,25
V28252,2,9,14,24,26
V28253,2,9,14,24,27
V28254,2,9,14,24,28
V28255,2,9,14,25,26
V28256,2,9,14,25,27
V28257,2,9,14,25,28
V28258,2,9,14,26,27
V28259,2,9,14,26,28
V28260,2,9,14,27,28
V28261,2,9,15,16,17
V28262,2,9,15,16,18
V28263,2,9,15,16,19
V28264,2,9,15,16,20
V28265,2,9,15,16,21
V28266,2,9,15,16,22
V28267,2,9,15,16,23
V28268,2,9,15,16,24
V28269,2,9,15,16,25
V28270,2,9,15,16,26
V28271,2,9,15,16,27
V28272,2,9,15,16,28
V28273,2,9,15,17,18
V28274,2,9,15,17,19
V28275,2,9,15,17,20
V28276,2,9,15,17,21
V28277,2,9,15,17,22
V28278,2,9,15,17,23
V28279,2,9,15,17,24
V28280,2,9,15,17,25
V28281,2,9,15,17,26
V28282,2,9,15,17,27
V28283,2,9,15,17,28
V28284,2,9,15,18,19
V28285,2,9,15,18,20
V28286,2,9,15,18,21
V28287,2,9,15,18,22
V28288,2,9,15,18,23
V28289,2,9,15,18,24
V28290,2,9,15,18,25
V28291,2,9,15,18,26
V28292,2,9,15,18,27
V28293,2,9,15,18,28
V28294,2,9,15,19,20
V28295,2,9,15,19,21
V28296,2,9,15,19,22
V28297,2,9,15,19,23
V28298,2,9,15,19,24
V28299,2,9,15,19,25
V28300,2,9,15,19,26
V28301,2,9,15,19,27
V28302,2,9,15,19,28
V28303,2,9,15,20,21
V28304,2,9,15,20,22
V28305,2,9,15,20,23
V28306,2,9,15,20,24
V28307,2,9,15,20,25
V28308,2,9,15,20,26
V28309,2,9,15,20,27
V28310,2,9,15,20,28
V28311,2,9,15,21,22
V28312,2,9,15,21,23
V28313,2,9,15,21,24
V28314,2,9,15,21,25
V28315,2,9,15,21,26
V28316,2,9,15,21,27
V28317,2,9,15,21,28
V28318,2,9,15,22,23
V28319,2,9,15,22,24
V28320,2,9,15,22,25
V28321,2,9,15,22,26
V28322,2,9,15,22,27
V28323,2,9,15,22,28
V28324,2,9,15,23,24
V28325,2,9,15,23,25
V28326,2,9,15,23,26
V28327,2,9,15,23,27
V28328,2,9,15,23,28
V28329,2,9,15,24,25
V28330,2,9,15,24,26
V28331,2,9,15,24,27
V28332,2,9,15,24,28
V28333,2,9,15,25,26
V28334,2,9,15,25,27
V28335,2,9,15,25,28
V28336,2,9,15,26,27
V28337,2,9,15,26,28
V28338,2,9,15,27,28
V28339,2,9,16,17,18
V28340,2,9,16,17,19
V28341,2,9,16,17,20
V28342,2,9,16,17,21
V28343,2,9,16,17,22
V28344,2,9,16,17,23
V28345,2,9,16,17,24
V28346,2,9,16,17,25
V28347,2,9,16,17,26
V28348,2,9,16,17,27
V28349,2,9,16,17,28
V28350,2,9,16,18,19
V28351,2,9,16,18,20
V28352,2,9,16,18,21
V28353,2,9,16,18,22
V28354,2,9,16,18,23
V28355,2,9,16,18,24
V28356,2,9,16,18,25
V28357,2,9,16,18,26
V28358,2,9,16,18,27
V28359,2,9,16,18,28
V28360,2,9,16,19,20
V28361,2,9,16,19,21
V28362,2,9,16,19,22
V28363,2,9,16,19,23
V28364,2,9,16,19,24
V28365,2,9,16,19,25
V28366,2,9,16,19,26
V28367,2,9,16,19,27
V28368,2,9,16,19,28
V28369,2,9,16,20,21
V28370,2,9,16,20,22
V28371,2,9,16,20,23
V28372,2,9,16,20,24
V28373,2,9,16,20,25
V28374,2,9,16,20,26
V28375,2,9,16,20,27
V28376,2,9,16,20,28
V28377,2,9,16,21,22
V28378,2,9,16,21,23
V28379,2,9,16,21,24
V28380,2,9,16,21,25
V28381,2,9,16,21,26
V28382,2,9,16,21,27
V28383,2,9,16,21,28
V28384,2,9,16,22,23
V28385,2,9,16,22,24
V28386,2,9,16,22,25
V28387,2,9,16,22,26
V28388,2,9,16,22,27
V28389,2,9,16,22,28
V28390,2,9,16,23,24
V28391,2,9,16,23,25
V28392,2,9,16,23,26
V28393,2,9,16,23,27
V28394,2,9,16,23,28
V28395,2,9,16,24,25
V28396,2,9,16,24,26
V28397,2,9,16,24,27
V28398,2,9,16,24,28
V28399,2,9,16,25,26
V28400,2,9,16,25,27
V28401,2,9,16,25,28
V28402,2,9,16,26,27
V28403,2,9,16,26,28
V28404,2,9,16,27,28
V28405,2,9,17,18,19
V28406,2,9,17,18,20
V28407,2,9,17,18,21
V28408,2,9,17,18,22
V28409,2,9,17,18,23
V28410,2,9,17,18,24
V28411,2,9,17,18,25
V28412,2,9,17,18,26
V28413,2,9,17,18,27
V28414,2,9,17,18,28
V28415,2,9,17,19,20
V28416,2,9,17,19,21
V28417,2,9,17,19,22
V28418,2,9,17,19,23
V28419,2,9,17,19,24
V28420,2,9,17,19,25
V28421,2,9,17,19,26
V28422,2,9,17,19,27
V28423,2,9,17,19,28
V28424,2,9,17,20,21
V28425,2,9,17,20,22
V28426,2,9,17,20,23
V28427,2,9,17,20,24
V28428,2,9,17,20,25
V28429,2,9,17,20,26
V28430,2,9,17,20,27
V28431,2,9,17,20,28
V28432,2,9,17,21,22
V28433,2,9,17,21,23
V28434,2,9,17,21,24
V28435,2,9,17,21,25
V28436,2,9,17,21,26
V28437,2,9,17,21,27
V28438,2,9,17,21,28
V28439,2,9,17,22,23
V28440,2,9,17,22,24
V28441,2,9,17,22,25
V28442,2,9,17,22,26
V28443,2,9,17,22,27
V28444,2,9,17,22,28
V28445,2,9,17,23,24
V28446,2,9,17,23,25
V28447,2,9,17,23,26
V28448,2,9,17,23,27
V28449,2,9,17,23,28
V28450,2,9,17,24,25
V28451,2,9,17,24,26
V28452,2,9,17,24,27
V28453,2,9,17,24,28
V28454,2,9,17,25,26
V28455,2,9,17,25,27
V28456,2,9,17,25,28
V28457,2,9,17,26,27
V28458,2,9,17,26,28
V28459,2,9,17,27,28
V28460,2,9,18,19,20
V28461,2,9,18,19,21
V28462,2,9,18,19,22
V28463,2,9,18,19,23
V28464,2,9,18,19,24
V28465,2,9,18,19,25
V28466,2,9,18,19,26
V28467,2,9,18,19,27
V28468,2,9,18,19,28
V28469,2,9,18,20,21
V28470,2,9,18,20,22
V28471,2,9,18,20,23
V28472,2,9,18,20,24
V28473,2,9,18,20,25
V28474,2,9,18,20,26
V28475,2,9,18,20,27
V28476,2,9,18,20,28
V28477,2,9,18,21,22
V28478,2,9,18,21,23
V28479,2,9,18,21,24
V28480,2,9,18,21,25
V28481,2,9,18,21,26
V28482,2,9,18,21,27
V28483,2,9,18,21,28
V28484,2,9,18,22,23
V28485,2,9,18,22,24
V28486,2,9,18,22,25
V28487,2,9,18,22,26
V28488,2,9,18,22,27
V28489,2,9,18,22,28
V28490,2,9,18,23,24
V28491,2,9,18,23,25
V28492,2,9,18,23,26
V28493,2,9,18,23,27
V28494,2,9,18,23,28
V28495,2,9,18,24,25
V28496,2,9,18,24,26
V28497,2,9,18,24,27
V28498,2,9,18,24,28
V28499,2,9,18,25,26
V28500,2,9,18,25,27
V28501,2,9,18,25,28
V28502,2,9,18,26,27
V28503,2,9,18,26,28
V28504,2,9,18,27,28
V28505,2,9,19,20,21
V28506,2,9,19,20,22
V28507,2,9,19,20,23
V28508,2,9,19,20,24
V28509,2,9,19,20,25
V28510,2,9,19,20,26
V28511,2,9,19,20,27
V28512,2,9,19,20,28
V28513,2,9,19,21,22
V28514,2,9,19,21,23
V28515,2,9,19,21,24
V28516,2,9,19,21,25
V28517,2,9,19,21,26
V28518,2,9,19,21,27
V28519,2,9,19,21,28
V28520,2,9,19,22,23
V28521,2,9,19,22,24
V28522,2,9,19,22,25
V28523,2,9,19,22,26
V28524,2,9,19,22,27
V28525,2,9,19,22,28
V28526,2,9,19,23,24
V28527,2,9,19,23,25
V28528,2,9,19,23,26
V28529,2,9,19,23,27
V28530,2,9,19,23,28
V28531,2,9,19,24,25
V28532,2,9,19,24,26
V28533,2,9,19,24,27
V28534,2,9,19,24,28
V28535,2,9,19,25,26
V28536,2,9,19,25,27
V28537,2,9,19,25,28
V28538,2,9,19,26,27
V28539,2,9,19,26,28
V28540,2,9,19,27,28
V28541,2,9,20,21,22
V28542,2,9,20,21,23
V28543,2,9,20,21,24
V28544,2,9,20,21,25
V28545,2,9,20,21,26
V28546,2,9,20,21,27
V28547,2,9,20,21,28
V28548,2,9,20,22,23
V28549,2,9,20,22,24
V28550,2,9,20,22,25
V28551,2,9,20,22,26
V28552,2,9,20,22,27
V28553,2,9,20,22,28
V28554,2,9,20,23,24
V28555,2,9,20,23,25
V28556,2,9,20,23,26
V28557,2,9,20,23,27
V28558,2,9,20,23,28
V28559,2,9,20,24,25
V28560,2,9,20,24,26
V28561,2,9,20,24,27
V28562,2,9,20,24,28
V28563,2,9,20,25,26
V28564,2,9,20,25,27
V28565,2,9,20,25,28
V28566,2,9,20,26,27
V28567,2,9,20,26,28
V28568,2,9,20,27,28
V28569,2,9,21,22,23
V28570,2,9,21,22,24
V28571,2,9,21,22,25
V28572,2,9,21,22,26
V28573,2,9,21,22,27
V28574,2,9,21,22,28
V28575,2,9,21,23,24
V28576,2,9,21,23,25
V28577,2,9,21,23,26
V28578,2,9,21,23,27
V28579,2,9,21,23,28
V28580,2,9,21,24,25
V28581,2,9,21,24,26
V28582,2,9,21,24,27
V28583,2,9,21,24,28
