0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,18.9430336307481,17.8275290215589,17.7560975609756,15.7953281423804,18.0156657963446,16.722972972973,19.3877551020408,17.2774869109948,19.0625,18.705035971223,16.243654822335,24.2424242424242,19.2,14.8648648648649,17.8571428571429,25,33.3333333333333,31.25,10,0,25
2,15.7858613589568,14.4278606965174,16,15.0166852057842,15.2741514360313,12.3310810810811,12.6530612244898,15.4450261780105,14.6875,16.5467625899281,14.2131979695432,10.6060606060606,20,16.2162162162162,16.0714285714286,7.14285714285714,22.2222222222222,6.25,0,28.5714285714286,0
3,12.6286890871654,13.3499170812604,12.1951219512195,12.9032258064516,13.3159268929504,9.62837837837838,14.0816326530612,10.9947643979058,12.1875,13.3093525179856,14.2131979695432,18.9393939393939,9.6,18.9189189189189,10.7142857142857,7.14285714285714,7.40740740740741,12.5,10,14.2857142857143,0
4,9.67741935483871,10.7794361525705,10.9268292682927,13.2369299221357,12.1409921671018,12.6689189189189,12.0408163265306,11.2565445026178,8.75,11.1510791366906,12.6903553299492,7.57575757575758,10.4,8.10810810810811,8.92857142857143,17.8571428571429,0,0,10,14.2857142857143,25
5,8.37336993822924,9.78441127694859,9.17073170731707,9.45494994438265,9.26892950391645,13.0067567567568,9.79591836734694,8.1151832460733,11.875,5.75539568345324,8.62944162436548,10.6060606060606,8.8,9.45945945945946,16.0714285714286,3.57142857142857,3.7037037037037,18.75,20,14.2857142857143,0
6,7.68702814001373,7.79436152570481,6.73170731707317,8.00889877641824,7.04960835509138,7.0945945945946,6.93877551020408,5.75916230366492,8.125,8.27338129496403,7.61421319796954,5.3030303030303,5.6,4.05405405405405,7.14285714285714,7.14285714285714,14.8148148148148,6.25,0,0,25
7,6.3143445435827,5.22388059701493,5.95121951219512,6.22914349276974,7.18015665796345,6.25,6.73469387755102,7.06806282722513,3.75,6.11510791366907,8.12182741116751,6.81818181818182,4,2.7027027027027,1.78571428571429,10.7142857142857,0,0,10,0,0
8,4.39258750857927,4.47761194029851,4.97560975609756,5.0055617352614,3.39425587467363,6.41891891891892,4.48979591836735,6.02094240837696,4.375,3.59712230215827,4.06091370558376,8.33333333333333,3.2,5.40540540540541,5.35714285714286,3.57142857142857,3.7037037037037,6.25,10,14.2857142857143,0
9,3.56897735072066,3.15091210613599,5.5609756097561,3.33704115684093,4.17754569190601,4.56081081081081,3.26530612244898,5.23560209424084,4.0625,3.59712230215827,3.55329949238579,0.757575757575758,3.2,6.75675675675676,5.35714285714286,3.57142857142857,3.7037037037037,6.25,0,14.2857142857143,25
10,3.77487989018531,4.56053067993367,3.02439024390244,4.11568409343715,2.34986945169713,2.7027027027027,2.24489795918367,3.1413612565445,2.8125,3.59712230215827,3.55329949238579,2.27272727272727,3.2,5.40540540540541,3.57142857142857,0,3.7037037037037,0,30,0,0
11,2.74536719286205,3.48258706467662,1.26829268292683,2.22469410456062,2.87206266318538,1.35135135135135,2.24489795918367,2.61780104712042,3.4375,3.9568345323741,1.01522842639594,0,4,0,1.78571428571429,3.57142857142857,0,0,0,0,0
12,2.05902539464653,1.49253731343284,1.46341463414634,1.00111234705228,1.30548302872063,2.36486486486486,1.63265306122449,1.83246073298429,0.9375,2.87769784172662,1.52284263959391,1.51515151515152,2.4,1.35135135135135,0,0,0,6.25,0,0,0
13,1.71585449553878,1.24378109452736,1.95121951219512,1.33481646273637,1.30548302872063,1.85810810810811,1.02040816326531,1.57068062827225,1.5625,1.07913669064748,2.03045685279188,0,2.4,2.7027027027027,1.78571428571429,10.7142857142857,0,0,0,0,0
14,0.754975978037062,0.580431177446103,0.975609756097561,1.00111234705228,1.0443864229765,0.506756756756757,1.42857142857143,1.04712041884817,1.875,1.07913669064748,1.01522842639594,0.757575757575758,0.8,1.35135135135135,0,0,3.7037037037037,0,0,0,0
15,0.686341798215511,0.912106135986733,0.585365853658537,0.333704115684093,0.522193211488251,1.35135135135135,1.02040816326531,0.785340314136126,0,0,1.01522842639594,0.757575757575758,0.8,0,0,0,3.7037037037037,6.25,0,0,0
16,0.343170899107756,0.082918739635158,0.780487804878049,0.222469410456062,0,0.337837837837838,0.408163265306122,0.785340314136126,0.625,0.359712230215827,0,0,0.8,1.35135135135135,0,0,0,0,0,0,0
17,0.411805078929307,0.248756218905473,0.292682926829268,0.444938820912125,0.261096605744125,0.168918918918919,0.408163265306122,0.261780104712042,0.625,0,0,0.757575757575758,0,1.35135135135135,1.78571428571429,0,0,0,0,0,0
18,0,0.165837479270315,0.292682926829268,0.222469410456062,0.130548302872063,0.337837837837838,0,0.785340314136126,0.625,0,0.507614213197969,0,0,0,0,0,0,0,0,0,0
19,0.137268359643102,0.082918739635158,0,0,0.261096605744125,0,0,0,0.625,0,0,0.757575757575758,1.6,0,0,0,0,0,0,0,0
20,0,0.33167495854063,0,0.111234705228031,0.130548302872063,0,0,0,0,0,0,0,0,0,1.78571428571429,0,0,0,0,0,0
21,0,0,0.097560975609756,0,0,0.337837837837838,0.204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
